,Unnamed: 0,动词,名词
542,542,弄碎,0
543,543,壅塞,客人
544,544,架用,学监
545,545,擦亮,0
546,546,摆脱,土炕
547,547,开行,0
548,548,退后,钞票
549,549,开动,嗓子
551,551,忘怀,0
552,552,叫醒,0
553,553,夹断,差事
555,555,激化,条子
556,556,搅拌,0
557,557,变换,0
558,558,甩卖,家分
559,559,撕开,0
560,560,理顺,午饭
561,561,中止,0
562,562,穿过,毛孩
563,563,撂,0
564,564,喝下去,爱情
565,565,止住,0
566,566,披,0
567,567,站直,神志
569,569,泄露,皮夹子
570,570,念,0
571,571,交,银洋
573,573,吃光,0
574,574,扔出去,0
575,575,举,0
576,576,咳,0
577,577,扔进,0
578,578,抓住,0
579,579,定,0
580,580,保住,0
581,581,引进,0
582,582,放出,0
583,583,穿透,马褂
584,584,投掷,车钱
585,585,铸成,0
586,586,抖,纸
587,587,拖延,0
588,588,原有,0
589,589,提前,厂长
590,590,分开,礼
591,591,消磨,0
592,592,移交,瓶子
593,593,遇到,0
594,594,取回,字条
595,595,戏弄,0
596,596,撕碎,0
597,597,撒,0
599,599,烧毁,0
600,600,露,0
601,601,垂,白衣
602,602,分,辙
603,603,留,0
604,604,缩短,馒头
605,605,说明,别墅
607,607,吸,眼镜
608,608,铺,0
609,609,扫视,0
